bin   short   long    flux        O2         CO2        H2O       C2H2        C2H4        HCN       NH3       CH3OH     CH3CHO      N2H4       CH3CN      OCS        CH4       C2H6         H2         NO         N2         CO
 56    895    900   6.30E+09   2.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   2.40E-17   1.25E-17   1.00E-18   2.00E-17   5.00E-18   4.00E-17
 57    900    905   6.70E+08   2.00E-18   2.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   2.60E-17   1.25E-17   3.00E-17   2.00E-17   1.00E-16   3.00E-17
 58    905    911   7.30E+08   2.00E-18   4.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   3.10E-17   1.25E-17   1.00E-18   2.00E-17   1.00E-16   6.00E-17
 59    911    915   5.00E+08   2.00E-18   4.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   3.00E-17   0.00E+00   4.00E-17   2.00E-17   1.00E-16   5.00E-17
 60    915    920   5.00E+08   2.00E-18   3.00E-17   1.00E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   5.00E-19   3.50E-17   1.25E-17   1.00E-18   2.00E-17   1.00E-16   5.00E-17
 61    920    923   1.10E+08   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   3.40E-17   0.00E+00   1.00E-19   2.00E-17   1.00E-18   5.00E-17
 62    923    927   1.10E+08   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   3.60E-17   0.00E+00   1.00E-19   2.00E-17   1.00E-16   1.00E-18
 63    927    930   2.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   4.10E-17   1.25E-17   1.00E-16   1.00E-17   1.00E-16   1.00E-18
 64    930    933   3.00E+08   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   4.30E-17   1.25E-17   1.00E-16   1.00E-17   1.00E-18   5.00E-17
 65    933    938   3.00E+08   2.00E-18   3.00E-17   1.30E-17   1.00E-18   0.00E+00   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   4.00E-17   0.00E+00   1.00E-19   1.00E-17   1.00E-16   1.00E-18
 66    938    942   5.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   0.00E+00   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   4.00E-17   1.00E-17   1.00E-20   2.00E-17   1.00E-16   1.00E-16
 67    942    948   6.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.00E-18   4.30E-17   1.88E-17   1.00E-17   2.00E-17   1.00E-18   1.00E-18
 68    948    951   5.94E+08   2.00E-18   5.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.10E-18   4.30E-17   1.88E-17   1.00E-18   1.00E-17   5.00E-17   1.00E-16
 69    951    954   3.00E+07   2.00E-18   5.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.10E-18   4.30E-17   1.88E-17   1.00E-20   2.00E-17   1.00E-19   1.00E-18
 70    954    956   2.00E+07   2.00E-18   5.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.10E-18   4.30E-17   1.88E-17   1.00E-17   2.00E-17   1.00E-17   1.00E-18
 71    956    958   2.00E+07   2.00E-18   5.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.10E-18   4.30E-17   1.88E-17   1.00E-20   2.00E-17   1.00E-19   1.00E-16
 72    957    961   3.00E+07   2.00E-18   5.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.10E-18   4.30E-17   1.88E-17   1.00E-20   2.00E-17   1.00E-16   1.00E-18
 73    961    966   5.00E+07   2.00E-18   3.00E-17   1.30E-17   1.00E-18   2.00E-17   2.00E-17   1.00E-17   3.00E-18   1.00E-17   1.00E-17   1.00E-17   1.30E-18   4.30E-17   2.50E-17   1.00E-17   2.00E-17   1.00E-19   1.00E-17
