bin   short   long     flux       H         H2          O          O2         CO        CO2         C           S          N          N2         NO        CH4        HCN       C2H2      H2O        He
 43    770    780   4.00E+08   3.96E-18   6.00E-18   5.00E-18   1.00E-17   2.00E-17   1.50E-17   1.50E-17   3.00E-17   1.00E-17   1.00E-17   1.50E-17   4.00E-17   3.00E-17   5.00E-17   1.45E-17   0.00E+00
 44    780    790   5.00E+08   4.11E-18   0.00E+00   5.00E-18   1.00E-17   2.00E-17   1.50E-17   1.50E-17   3.00E-17   1.00E-17   0.00E+00   1.00E-17   4.00E-17   3.00E-17   5.00E-17   1.34E-17   0.00E+00
 45    790    800   4.00E+08   4.27E-18   0.00E+00   5.00E-18   1.00E-17   2.00E-17   1.50E-17   1.50E-17   3.00E-17   1.00E-17   0.00E+00   1.00E-17   3.00E-17   3.00E-17   5.00E-17   1.31E-17   0.00E+00
 46    800    830   8.07E+08   4.77E-18   0.00E+00   5.00E-18   4.00E-18   2.00E-17   1.50E-17   1.50E-17   3.00E-17   1.00E-17   0.00E+00   1.00E-17   3.00E-17   2.00E-17   5.00E-17   1.28E-17   0.00E+00
 47    830    836   7.00E+08   4.88E-18   0.00E+00   5.00E-18   4.00E-18   2.00E-17   1.00E-17   1.50E-17   3.00E-17   1.00E-17   0.00E+00   1.00E-17   3.00E-17   1.00E-17   4.00E-17   1.24E-17   0.00E+00
 48    836    860   1.40E+09   5.31E-18   0.00E+00   5.00E-18   1.00E-17   2.00E-17   2.00E-17   1.50E-17   3.00E-17   5.00E-18   0.00E+00   1.00E-17   3.00E-17   5.00E-18   4.00E-17   1.14E-17   0.00E+00
 49    860    865   3.50E+08   5.40E-18   0.00E+00   5.00E-18   1.00E-17   2.00E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   3.00E-17   0.00E+00   4.00E-17   1.12E-17   0.00E+00
 50    865    870   3.90E+08   5.50E-18   0.00E+00   5.00E-18   1.00E-17   2.00E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   3.00E-17   0.00E+00   4.00E-17   1.03E-17   0.00E+00
 51    870    875   4.30E+08   5.59E-18   0.00E+00   5.00E-18   1.00E-17   2.50E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   2.00E-17   0.00E+00   4.00E-17   1.02E-17   0.00E+00
 52    875    880   4.70E+08   5.69E-18   0.00E+00   5.00E-18   1.00E-17   3.00E-17   2.00E-17   1.50E-17   3.00E-17   0.00E+00   0.00E+00   1.00E-17   2.00E-17   0.00E+00   4.00E-17   1.00E-17   0.00E+00
